ID,NAME,PASSWORDS,Vote Status,CANDIDATE SELECTED
24K-0001,ab1,cT2dC*%z,Selected,MEhrwan ected
24K-0002,dev,TLs7qsrA,Selected,Murtaza ected
24K-0003,rehamna,6zxX*V6U,Selected,MEhrwan ected
24K-0004,john,P8#YeJBq,Selected,MEhrwan ected
24K-0005,friends,Gxw6*bIs,Selected,Murtaza ected
24K-0006,fahad,CTy^U#Yq,Selected,Murtaza ected
24K-0007,suleman,dQi&LZ#i,NOT VOTED,Not Selected
24K-0008,furqan ,wF7m7Z9X,NOT VOTED,Not Selected
24K-0009,filhal,Pz5g%zi5,NOT VOTED,Not Selected
24K-0010,hasnain,KO0i8#Rr,NOT VOTED,Not Selected
24K-0011,taha,w0nyrTgr,Selected,MEhrwan ected
24K-0012,talha,7M*LwA1k,NOT VOTED,Not Selected
24K-0013,abrar,0CJ^v8NI,NOT VOTED,Not Selected
24K-0014,shaheer,BwTg4Hmz,NOT VOTED,Not Selected
24K-0015,faiz,yo1wo@jr,Selected,Murtaza ected
